"summary_date","app_id","app_type","app_name","campaign_id","campaign_name","ad_id","ad_name","impressions","clicks","installs","spend","event_name","events_d0","events_d7","unique_events_d0","unique_events_d7"
"2022.06.14","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16L8hGR","Super AD 16L8hGR","82","46",,"0.00455","super_event",,,,
"2022.07.10","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16z49oF","Super AD 16z49oF","1942","1226","2","0.8892000000000001","super_event","0","0","0","0"
"2022.07.05","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16DpJ5e","Super AD 16DpJ5e","116","2",,"0.00715","super_event",,,,
"2022.06.01","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16sutOl","Super AD 16sutOl","15550","18","4","0.5245500000000001","super_event","0","0","0","0"
"2022.07.25","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16ZEk4H","Super AD 16ZEk4H","0","0","2","0.0","super_event","0","0","0","0"
"2022.06.29","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16zXhnZ","Super AD 16zXhnZ","466","264","2","0.24765","super_event","0","0","0","0"
"2022.06.02","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_167wQ9K","Super AD 167wQ9K","12","0",,"0.0013000000000000002","super_event",,,,
"2022.07.02","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_165Ir4s","Super AD 165Ir4s","0","0",,"0.0","super_event",,,,
"2022.06.02","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16SmxpJ","Super AD 16SmxpJ","10","0",,"6.500000000000001E-4","super_event",,,,
"2022.07.27","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16OvRBM","Super AD 16OvRBM","7382","614",,"2.2152","super_event",,,,
"2022.07.10","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16aRyUO","Super AD 16aRyUO","30","0",,"0.00455","super_event",,,,
"2022.07.15","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16q1T9e","Super AD 16q1T9e","890","66",,"0.18655","super_event",,,,
"2022.07.28","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16VAIpg","Super AD 16VAIpg","4832","2366","2","1.9994","super_event","0","0","0","0"
"2022.06.01","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_1613Cm3","Super AD 1613Cm3","2970","6","2","0.3224","super_event","0","0","0","0"
"2022.07.20","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_160KfFb","Super AD 160KfFb","60896","8788","20","21.76005","super_event","0","0","0","0"
"2022.06.13","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16N7JOH","Super AD 16N7JOH","541074","422","94","27.030900000000006","super_event","16","16","14","14"
"2022.06.28","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16iiLJw","Super AD 16iiLJw","0","2","16","0.0","super_event","0","0","0","0"
"2022.06.13","com.super.app","android","Super App 2000","campaign_16","Super campaign 16","ad_16FGWaT","Super AD 16FGWaT","62284","120","30","4.2107","super_event","2","2","2","2"
